,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
90,21,17,10.3488,29666284.0,2021,1,2021-01-21 17:30:00+00:00,67.571,207.36,114.28,658.35
91,21,18,10.4999,21237996.0,2021,1,2021-01-21 18:30:00+00:00,63.382999999999996,175.64,112.67999999999999,701.7
92,21,19,10.675,26298364.0,2021,1,2021-01-21 19:30:00+00:00,23.372,179.27,139.1,651.63
93,21,20,10.755,17907184.0,2021,1,2021-01-21 20:30:00+00:00,64.97699999999999,201.51,112.50999999999999,655.96
94,22,14,11.3775,45600460.0,2021,1,2021-01-22 14:30:00+00:00,73.403,187.33,97.89,654.77
95,22,15,12.14,58284460.0,2021,1,2021-01-22 15:30:00+00:00,28.897999999999996,184.62,151.73,643.62
96,22,16,15.4175,139926460.0,2021,1,2021-01-22 16:30:00+00:00,138.452,239.02,111.15,629.85
97,22,17,14.78,211279368.0,2021,1,2021-01-22 17:30:00+00:00,29.854999999999997,165.64000000000001,146.67,677.68
98,22,18,14.8984,93820092.0,2021,1,2021-01-22 18:30:00+00:00,49.307,181.86,130.53,647.59
99,22,19,15.2975,66619320.0,2021,1,2021-01-22 19:30:00+00:00,53.426,190.25,111.39,688.36
100,22,20,16.1875,66939732.0,2021,1,2021-01-22 20:30:00+00:00,54.623000000000005,189.66,112.68,697.61
101,24,14,29.9775,127561076.0,2021,1,2021-01-24 14:30:00+00:00,81.3895,214.327,113.322,662.351
102,24,15,23.695,121110236.0,2021,1,2021-01-24 15:30:00+00:00,113.956,185.37,93.71,690.92
103,24,16,18.1775,65114768.0,2021,1,2021-01-24 16:30:00+00:00,162.421,176.34,74.32,749.34
104,24,17,17.175,67695560.0,2021,1,2021-01-24 17:30:00+00:00,129.058,202.38,112.91,684.72
105,24,18,20.55,66544968.0,2021,1,2021-01-24 18:30:00+00:00,129.122,150.84,63.230000000000004,785.92
106,24,19,19.85,51188304.0,2021,1,2021-01-24 19:30:00+00:00,136.981,186.51,96.91,696.59
107,24,20,19.185,24720096.0,2021,1,2021-01-24 20:30:00+00:00,130.464,183.91,98.73,677.37
108,25,14,20.678,70527820.0,2021,1,2021-01-25 14:30:00+00:00,134.129,237.69,127.56,604.76
109,25,15,21.855,45951340.0,2021,1,2021-01-25 15:30:00+00:00,28.529000000000003,156.16,148.81,665.02
110,25,16,23.1475,23813232.0,2021,1,2021-01-25 16:30:00+00:00,98.147,182.71,98.22,699.08
111,25,17,28.1098,99916228.0,2021,1,2021-01-25 17:30:00+00:00,133.348,241.29,102.07000000000001,626.65
112,25,18,30.5643,106641248.0,2021,1,2021-01-25 18:30:00+00:00,120.997,213.44,87.82000000000001,678.73
113,25,19,37.0475,124755040.0,2021,1,2021-01-25 19:30:00+00:00,91.12400000000001,204.66,129.35999999999999,646.0
114,25,20,36.4912,45055184.0,2021,1,2021-01-25 20:30:00+00:00,52.163,155.72,111.3,692.98
115,26,14,69.0175,39084416.0,2021,1,2021-01-26 14:30:00+00:00,86.81099999999999,224.55,89.28999999999999,676.17
116,26,15,90.496,46473280.0,2021,1,2021-01-26 15:30:00+00:00,33.313,197.01,123.36,669.62
117,26,16,75.775,27527984.0,2021,1,2021-01-26 16:30:00+00:00,88.8946,162.615,99.214,707.181
118,26,17,81.1855,18309884.0,2021,1,2021-01-26 17:30:00+00:00,93.503,251.91,161.16,566.9399999999999
119,27,18,75.3057,17278848.0,2021,1,2021-01-27 18:30:00+00:00,82.64,188.41,65.52,746.08
120,27,19,83.9562,21101268.0,2021,1,2021-01-27 19:30:00+00:00,81.768,197.06,120.41,652.53
121,27,20,86.25,11969436.0,2021,1,2021-01-27 20:30:00+00:00,77.057,164.06,98.59,707.33
122,28,14,98.8351,23625412.0,2021,1,2021-01-28 14:30:00+00:00,87.784,132.57,60.59,776.82
123,28,15,33.0,15094200.0,2021,1,2021-01-28 15:30:00+00:00,17.666,150.69,103.67,735.68
124,28,16,69.0235,21504644.0,2021,1,2021-01-28 16:30:00+00:00,41.538000000000004,133.62,88.83,777.55
125,28,17,57.5864,12420340.0,2021,1,2021-01-28 17:30:00+00:00,48.522,116.3,54.05,809.67
126,28,18,57.055,9592360.0,2021,1,2021-01-28 18:30:00+00:00,27.028000000000006,145.34,71.5,763.1899999999999
127,28,19,56.2932,13085164.0,2021,1,2021-01-28 19:30:00+00:00,76.599,156.42000000000002,64.18,769.4
128,28,20,49.36,8255300.0,2021,1,2021-01-28 20:30:00+00:00,-5.992999999999999,145.37,126.46,728.19
0,1,14,53.2675,23642104.0,2021,2,2021-02-01 14:30:00+00:00,117.2333,223.31300000000002,112.474,644.226
1,1,15,68.4875,15155700.0,2021,2,2021-02-01 15:30:00+00:00,-11.953899999999999,109.328,96.369,784.304
2,1,16,63.0,7486664.0,2021,2,2021-02-01 16:30:00+00:00,60.615,104.382,44.363,841.245
3,1,17,59.8725,4588260.0,2021,2,2021-02-01 17:30:00+00:00,111.235,143.85,75.83,780.33
4,1,18,61.1475,6485808.0,2021,2,2021-02-01 18:30:00+00:00,80.336,97.96,56.16,815.85
5,1,19,58.5,5554124.0,2021,2,2021-02-01 19:30:00+00:00,74.1396,107.048,52.679,840.253
6,1,20,56.75,6664332.0,2021,2,2021-02-01 20:30:00+00:00,71.4474,114.17999999999999,69.972,815.858
7,2,14,26.04,44756916.0,2021,2,2021-02-02 14:30:00+00:00,52.901,138.52,97.03,754.47
8,2,15,34.265,66405916.0,2021,2,2021-02-02 15:30:00+00:00,56.690000000000005,209.59,143.81,626.61
9,2,16,28.7757,30987660.0,2021,2,2021-02-02 16:30:00+00:00,75.697,154.37,124.59,701.02
10,2,17,28.25,12114848.0,2021,2,2021-02-02 17:30:00+00:00,50.745000000000005,98.92,65.69,835.37
11,2,18,24.7056,12421516.0,2021,2,2021-02-02 18:30:00+00:00,20.541,101.13,82.71,816.2
12,2,19,23.7036,13735960.0,2021,2,2021-02-02 19:30:00+00:00,40.431000000000004,119.94,101.46,768.59
13,2,20,22.5525,9453760.0,2021,2,2021-02-02 20:30:00+00:00,51.638,121.21000000000001,70.77,808.03
14,3,14,22.5751,31240168.0,2021,2,2021-02-03 14:30:00+00:00,97.471,156.81,74.38,768.81
15,3,15,23.55,18300172.0,2021,2,2021-02-03 15:30:00+00:00,84.222,151.9,98.12,739.97
16,3,16,24.5325,9704556.0,2021,2,2021-02-03 16:30:00+00:00,113.131,145.16,40.97,803.89
17,3,17,25.3637,13930460.0,2021,2,2021-02-03 17:30:00+00:00,125.969,133.9,62.18,773.9
18,3,18,25.7237,14619208.0,2021,2,2021-02-03 18:30:00+00:00,64.893,95.15,55.35,849.52
19,3,19,23.1367,11385828.0,2021,2,2021-02-03 19:30:00+00:00,141.012,156.78,39.09,804.13
20,3,20,23.1925,5323640.0,2021,2,2021-02-03 20:30:00+00:00,77.1379,112.34400000000001,70.831,816.825
21,4,14,18.85,27780232.0,2021,2,2021-02-04 14:30:00+00:00,93.364,139.44,57.31,793.25
22,4,15,15.83,39616156.0,2021,2,2021-02-04 15:30:00+00:00,136.083,182.67,100.58,716.75
23,4,16,17.1905,34142424.0,2021,2,2021-02-04 16:30:00+00:00,91.186,177.62,73.62,748.75
24,4,17,14.8575,27306788.0,2021,2,2021-02-04 17:30:00+00:00,47.303,136.69,109.77,733.54
25,4,18,14.8438,16741724.0,2021,2,2021-02-04 18:30:00+00:00,74.194,158.54,85.15,756.34
26,4,19,14.36,18774828.0,2021,2,2021-02-04 19:30:00+00:00,112.734,184.56,83.61,721.81
27,4,20,13.3445,13695676.0,2021,2,2021-02-04 20:30:00+00:00,39.347,147.95,111.28,740.77
28,5,14,17.7319,104897860.0,2021,2,2021-02-05 14:30:00+00:00,47.488,105.4,82.69,781.9
29,5,15,17.375,38603744.0,2021,2,2021-02-05 15:30:00+00:00,92.311,171.79,86.25,731.94
30,5,16,16.455,31618320.0,2021,2,2021-02-05 16:30:00+00:00,135.411,175.54,63.910000000000004,740.55
31,5,17,15.63,12165028.0,2021,2,2021-02-05 17:30:00+00:00,88.815,198.33,114.59,667.1
